fid,id_class,id_name,area,perimeter
618,"3",Coniferous Trees,162.676025390625000,52.561181801893895
620,"2",Broadleaf Trees,91.352294921875000,35.734854747513388
622,"1",Grass,153.211914062500000,49.842028498080033
623,"1",Grass,33.330566406250000,22.870743808572051
624,"3",Coniferous Trees,23.317871093750000,21.479710959468992
626,"3",Coniferous Trees,91.350830078125000,36.686444932456730
627,"1",Grass,98.483642578125000,37.775103549058016
628,"1",Grass,59.941406250000000,28.570718179606015
629,"3",Coniferous Trees,1373.424316406250000,157.116414408369337
630,"3",Coniferous Trees,41.698242187500000,23.789119978596879
631,"3",Coniferous Trees,1161.780029296875000,242.238886162885962
632,"2",Broadleaf Trees,14.814208984375000,15.633107103861422
633,"3",Coniferous Trees,802.957031250000000,115.088576526590288
634,"3",Coniferous Trees,46.360839843750000,33.825296870335222
635,"1",Grass,43.618652343750000,33.081407120549770
636,"3",Coniferous Trees,1158.210449218750000,180.959537176210063
637,"2",Broadleaf Trees,5.760742187500000,9.128958104187957
638,"3",Coniferous Trees,24.963867187500000,18.945676179725385
639,"1",Grass,3.428466796875000,9.008756934862337
640,"3",Coniferous Trees,0.548583984375000,2.962851921845572
641,"3",Coniferous Trees,40.325927734375000,23.242984608167497
642,"3",Coniferous Trees,94.095214843750000,47.784465833334195
643,"3",Coniferous Trees,29.353515625000000,20.934072425282324
644,"3",Coniferous Trees,0.548828125000000,2.962851921845572
645,"3",Coniferous Trees,657.014404296875000,120.199480873340335
646,"2",Broadleaf Trees,0.548583984375000,2.962851921845572
647,"3",Coniferous Trees,300.390380859375000,73.727527989590442
648,"1",Grass,250.323730468750000,65.474053346930774
649,"3",Coniferous Trees,55.688232421875000,28.886842633957009
651,"1",Grass,0.548828125000000,2.962851921845572
652,"3",Coniferous Trees,325.627685546875000,125.193983832222386
653,"2",Broadleaf Trees,143.610107421875000,49.634117235006215
655,"3",Coniferous Trees,719.152343750000000,150.007517075414000
656,"1",Grass,1681.629638671875000,213.264796797677576
657,"3",Coniferous Trees,136.341064453125000,43.650611051250280
658,"3",Coniferous Trees,54.454589843750000,29.394348002140294
660,"3",Coniferous Trees,2.468994140625000,7.647532103281161
661,"2",Broadleaf Trees,163408.730712890625000,10563.764774972720261
662,"2",Broadleaf Trees,9.463867187500000,12.763561275994590
663,"2",Broadleaf Trees,336.465087890625000,93.233998009491984
664,"3",Coniferous Trees,1237.217773437500000,189.356650522963548
383,"4",Water,467.728759765625000,80.569591422389450
